.comfax,MessageClick
"@Large Software, Inc.","Extensity, Inc. "
"1Nine Systems, Inc.","PrintChannel.com, Inc. "
"2ndWave, Inc.","TorchQuest, Inc. "
"3am Labs, Inc.","LogMeIn, Inc. "
"3G Corp Holdings, Inc.","Perpetua, Inc. "
"3GUpload, Inc.",Myxer
"3Leaf Networks, Inc.",3Leaf Systems Corporation
3SPN,"GaimTheory, Inc. "
4GL School Solutions,Spectrum K12 School Solutions
6th Sense Software,"6th Sense Analytics, Inc. "
21 CenNet,MobileWare Corporation
21st Century Cable TV,21st Century Telecom Group
123hire.com,"USAhire, LLC. "
401k Forum,"mPower.com, Inc. "
"900 Seconds, Inc.","Bix.com, Inc. "
"911Gifts, Inc.","RedEnvelope, Inc. "
1010Web,"Simplexity, Inc. "
2000Logistics,"Copera, Inc. "
"AAC Group, The","Synhrgy HR Technologies, Inc. "
"AAO Exchange, Inc.",Cymerc Exchange
"AB Stores, Inc.","AuctionDrop, Inc. "
"Abdominis, Inc.","ReShape Medical, Inc. "
"Abek, Inc.","Abek Scientific, Inc. "
"Abhai Systems, Inc.","InMage Systems, Inc. "
Abion Corp.,Albion Instruments
Ablation Technologies,ATI Medical
"Ablatrics, Inc.","nContact Surgical, Inc. "
"ABN, Inc.","American Bionetics, Inc. "
"Abra, Inc.",Telleo
Accel Communications Corporation,"Cadia Networks, Inc. "
Accelerated Composites,"Aptera Motors, Inc. "
Accelerated Connections,"Rhythms NetConnections, Inc. "
"Accelerated Networks, Inc.","Occam Networks, Inc. "
"Access Biotechnology, Inc.","Axion, Inc. "
ACCESS Radiology,eMed Technologies Corporation
"ACCESS Retail Entertainment, Inc.",Access 360 Media
Access21 Corporation,"New Edge Networks, Inc. "
"AccessLease, Inc.",Ampent
"Accolade, Inc.",Infogrames North America
Accompany,"MobShop, Inc. "
"ACCU Therapeutics, Inc.","Ascenta Therapeutics, Inc. "
"ACCUCORE, Inc.","VitalCom, Inc. "
"Acculaser, Inc.","PhotoThera, Inc.  "
"Accuri Instruments, Inc.","Accuri Cytometers, Inc. "
"Acelere, Inc.","Synfora, Inc. "
Acess Unlimited,"Reference Technology, Inc. "
"Acinion, Inc.","Blackwave, Inc. "
"Acorn Medical, Inc.","Acorn Cardiovascular, Inc. "
"Acropole, Inc.","Juice Software, Inc.  "
ACS Pharmaceutical,"Genesis Labs, Inc. "
Acsera Corporation,"ClearApp, Inc. "
"Actifax, LLC",Livelistings.com
"Action Auto, Inc.","Action Auto Stores, Inc. "
Action Medical Supplies,Medical Innovations
"Activated Cell Therapy, Inc.",Dendreon Corporation
"Active Athlete Media, Inc.","Sportgenic, Inc. "
"Active Buddy, Inc.","Conversagent, Inc. "
"Active Communications, Inc.","BrainShark, Inc. "
"Active Research, Inc.","Active Decisions, Inc. "
Active.com,"Active Network, Inc., The "
"ActiveGrid, Inc.","WaveMaker Software, Inc. "
ActiveMaps,"Ripple Networks, Inc. "
ActiveMedia Communications,"ShareVision Technology, Inc"
"Acuity, Inc.",Quintus Corporation
Acusia Corporation,"Songbird Hearing, Inc. "
Acuvasive,"Novacept, Inc. "
"Adacom, Inc.",Harris-Adacom Corporation
"Adams Trade Press, Inc.",Adams Business Media
"Adapt Advertising, Inc.","RevCube Media, Inc. "
Adaptive Data & Energy,"Adaptive Data Systems, Inc. "
"Adaptive Media, Inc",Vuent
Adaptive Software,Adaptiv Software Corporation
Adaptivity,Recipio
"AdAuction.com, Inc.",OneMediaPlace
AdClip Networks,Endai Worldwide
"Addamark Technologies, Inc.","SenSage, Inc. "
"adDirect, Inc.","FastChannel Network, Inc. "
"ADEXS, Inc.","MSDS Online, Inc.  "
AdHarmony,AdExchange
"AdOne Classified Network, Inc.",AdOne LLC
"AdSavers.com, Inc.",OnScreen Interactive
"AdStar.com (FKA; Ad Star Services, Inc.","AdStar, Inc. "
Advan. Therapeutic Sys.,Controlled Therapeutics Corp.
"Advance Information Technology, Inc.","FedBid, Inc. "
"Advance ParadigM, Inc.",Advance PCS
Advance-com Corporation,"RedTail Solutions, Inc. "
"Advanced Charger Technology, Inc.",Enrev
Advanced Closure Systems,"NeoMend, Inc. "
Advanced Diagnostics,"Advanced Imaging Technologies,Inc."
Advanced Encryption Systems,Semaphore Communications
Advanced Interactive,Ignite Media Solutions LLC
"Advanced Medical Applications, Inc.","Celleration, Inc. "
Advanced Medical Technologies,"Advanced Medical, Inc. "
"Advanced Medicine, Inc.","Theravance, Inc. "
"Advanced Polymer Systems, Inc.","AP Pharma, Inc. "
"Advanced System Products, Inc.",ConnectCom
Advanced Telecommunications Modules,Virata Corporation
Advanced Therapeutic Systems,"Athersys, Inc. "
Advanced Uroscience,"Carbon Medical Technologies, Inc. "
Advancis Pharma,"MiddleBrook Pharmaceuticals, Inc. "
Adventure In Learning,"Knoware, Inc. "
"AEC Data Systems, Inc.","Asset Works, Inc. "
"AEC1, Inc.","NewForma, Inc. "
Aegis Learning Group,Edgia
Aegis Therapeutics Corporation,Vievax Corporation
Aereous,Indigo Security
Aerial Images,"Terraserver.com, Inc.  "
Aeronaut Marketing,Excelerate Marketing
"Aestherx, Inc.","Kythera Biopharmaceuticals, Inc. "
Aeta,American Engineering & Technical Assoc.
"Aether Systems, Inc.","NexCen Brands, Inc. "
Affinicast Corporation,"Personify, Inc. "
"Affordable Interior Systems, Inc.","AIS, Inc. "
African Comm,Adesemi Communications International
Again Technologies,"Motiva, Inc. "
Agile Storage,"ONStor, Inc. "
"Agis Pharmaceuticals, Inc.",Sennes Drug Innovations
Agora Digital Corporation,"2Bridge Software, Inc. "
"Agora Media, Inc.","Waterfront Media, Inc. "
Agouron Technologies,"Agouron Pharmaceuticals, Inc. "
"Agribuys, Inc.","Foodlink Online, LLC "
Agro Sciences,"Applied Intelligent Systems, Inc. "
Ahura Corporation,"Ahura Scientific, Inc. "
AirGate Wireless LLC,AirGate Holding Company
Ajuga Media,"Analyte Media, Inc. "
"Akos Biomedical, Inc.","Endonetics, Inc. "
"Alacritude, LLC","HighBeam Research, Inc. "
Alar Systems Corp.,Infobridge Corporation
Alexin Pharmaceutical,Lexin Pharmaceutical Corporation
Alexza MDC,"Alexza Pharmaceuticals, Inc. "
"Allegiancestores.com, Inc.","GreaterGood.com, Inc. "
Allegiant Technology Group,Seurat Company
"Alliance Imaging, Inc.",Alliance HealthCare Services
Alta Technology Corporation,Linux NetworX
"Alteon, Inc.","Synvista Therapeutics, Inc. "
Alternate Realities Corporation,Elumens Corporation
Alternetix Inc,Q-Link Technologies
"Altus Biologics, Inc.","Altus Pharmaceuticals, Inc. "
"Altus Medical, Inc.","Cutera, Inc.  "
"Alumina Micro, Inc.","Microstaq, Inc. "
"Amalgamated Insight, Inc.","Truviso, Inc. "
"AMBIS Systems, Inc.","Genetic BioSystems, Inc. "
"Ambryx, Inc.","Senomyx, Inc. "
Ambulatory Hospitals of Amer,Healthstar Corporation
AMC Greyhawk Corp.,"Auto Parts Club, Inc. "
Amer. Cable Connection,Connecting Point Of America
"America's Funding Source, Inc.","LoanCity, Inc. "
"Americaid Community Care, Inc.",Amerigroup Corporation
American Bioclinical,"International Bioclinical, Inc. "
American Cable Entertainment,ACEC Holding Company LLC
American Cimflex Corporation,"American Cimflex, Inc. "
"American Computer Innovators, Inc.","OpenPages, Inc. "
"American Health Care Groups, Inc.","HealthSpring, Inc. "
American Healthcare Systems,Cumberland Health Systems
"American Healthcorp, Inc.","Healthways, Inc. "
American Life Support Technology,"Lectus, Inc. "
American Medical Plan,"Volunteer Health Plan, Inc. "
"American NeuraLogix, Inc.","Adaptive Logic, Inc. "
American Oncology Resources,"US Oncology, Inc. "
American Outpatient Center,Surgical Health Corporation
American Package Express,"APX Logistics, Inc. "
"American Psych Systems, Inc.","APS Healthcare, Inc. "
American Spliceco,"Central Florida Satellite Cable, Inc."
American Wireless Corporation,"WAVTrace, Inc. "
"AmeriNet Financial Systems, Inc.","HomeSpace, Inc. "
"AMF Holdings, Inc.","AMF Bowling Worldwide, Inc. "
"Amiga Computer, Inc","Commodore-Amiga Computer, Inc. "
"Amigo Therapy, Inc.","Corventis, Inc. "
